SSIM_original,SSIM_adam,SSIM_scaled,
0.818550169,0.80986017,0.833019972,
0.76329726,0.81888777,0.859619439,
0.805424869,0.79927963,0.874669731,
0.765404165,0.854909718,0.897435367,
0.787832737,0.848206043,0.89812392,
0.844314754,0.856419981,0.919115961,
0.842368603,0.828993976,0.878942192,
0.837322414,0.792818487,0.86946106,
0.816902936,0.848959148,0.895187855,
0.833782494,0.812674284,0.83491689,
0.830890894,0.826619565,0.854138851,
0.799871385,0.772980869,0.837722301,
0.789045811,0.724426329,0.831226647,
0.8613922,0.800388992,0.863769352,
0.861863852,0.889951408,0.947856188,
0.857254922,0.86483264,0.908008993,
0.825813115,0.87973851,0.939690292,
0.818944633,0.850658238,0.914674997,
0.821964562,0.85371089,0.930377245,
0.812302113,0.87450105,0.899889767,
0.820025623,0.879560471,0.918096006,
0.912489116,0.856888115,0.930311918,
0.852033436,0.8539868,0.925946236,
0.885214508,0.852814615,0.905148983,
0.885840654,0.851844072,0.912168741,
0.860884249,0.856862545,0.89540863,
0.849758685,0.856732786,0.930012226,
0.832295597,0.852690279,0.888448775,
0.848487794,0.873670757,0.934609234,
0.870112121,0.873380959,0.903154135,
0.924069226,0.870789528,0.927020252,
0.873518944,0.846424043,0.914827824,
0.831647217,0.827235699,0.889721692,
0.840570152,0.885349989,0.938978195,
0.898905933,0.839912832,0.932943523,
0.854120433,0.832021713,0.901537597,
0.88238591,0.856799603,0.921257019,
0.859410286,0.847653627,0.894340813,
0.88645345,0.847373009,0.918824911,
0.898278654,0.854502499,0.900844395,
0.915777028,0.854918778,0.92091614,
0.862722814,0.858243406,0.944807827,
0.862405479,0.854364932,0.932397127,
0.879961014,0.854189694,0.926263094,
0.875906765,0.868076622,0.954761803,
0.912853718,0.863131523,0.937400043,
0.931541145,0.862142384,0.950012863,
0.924596846,0.853440106,0.942570686,
0.926371753,0.864785671,0.951376677,
0.938477457,0.85941714,0.951957643,
0.91713649,0.865996361,0.94752717,
0.904690921,0.867808044,0.931960404,
0.90819478,0.878480852,0.963481605,
0.892561376,0.876045227,0.951259673,
0.901044846,0.866603434,0.956160724,
0.894702852,0.834445655,0.939166784,
0.872440815,0.840611637,0.949272811,
0.87759465,0.842868745,0.922043979,
0.883852065,0.851344764,0.938798606,
0.898197472,0.853636742,0.917867243,
0.93323642,0.83658123,0.947853744,
0.934566975,0.854502618,0.945370197,
0.926193237,0.854854405,0.958960831,
0.924905121,0.83986491,0.931350529,
0.915007591,0.836352527,0.946010888,
,,,
,,,
,,,
Average_SSIM,0.808964238,0.856545723,0.863992388
